procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5162996   5152 495828    0    0    49   246 6231   12  1  1 97  0  0  0
932  1      0 4885964   5152 497600    0    0    40  1064 17262 49570 21 12 67  0  0  0
774  0      0 4841344   5152 498244    0    0     0  1456 20667 60828  9 10 80  0  0  0
983  0      0 4792552   5152 498860    0    0     0  1216 20658 58104 10  9 81  0  0  0
995  0      0 4774384   5152 499452    0    0     0  1344 19680 54103 13  9 78  0  0  0
893  0      0 4772392   5152 499548    0    0     0  1488 20755 60676 10  9 81  0  0  0
936  0      0 4769796   5160 499608    0    0     0  1116 19357 56262  9  9 82  0  0  0
904  0      0 4744552   5160 499604    0    0     0  1072 19286 55006 13  9 77  0  0  0
959  0      0 4743728   5168 499644    0    0     0  1208 19677 57105  9  8 82  0  0  0
62  0      0 4745440   5200 499972    0    0     0  3984 19169 62039  8  8 83  0  0  0
800  1      0 4743296   5200 499956    0    0     0  1432 21236 59839 13  9 78  0  0  0
1019  0      0 4736380   5200 499956    0    0     0  1488 22171 61916  9  9 81  0  0  0
879  0      0 4732000   5200 499976    0    0     0  1448 20210 58299 10  8 82  0  0  0
885  0      0 4730752   5200 499976    0    0     0  1232 19285 58945 12  9 78  0  0  0
996  0      0 4731196   5208 499960    0    0     0  1440 21819 61784  8 10 81  0  0  0
880  0      0 4730016   5208 499960    0    0     0  1224 19873 57601  8 10 82  0  0  0
866  0      0 4729900   5208 500008    0    0     0  1544 21992 63967  9  9 82  0  0  0
561  0      0 4723436   5208 500008    0    0     0  1192 20057 64739 13  9 77  0  0  0
28  0      0 4725132   5208 500008    0    0     0  1360 21200 66831  9 10 81  0  0  0
960  0      0 4722848   5216 500008    0    0     0  1160 22215 65963  9 10 82  0  0  0
783  0      0 4718132   5216 500008    0    0     0  1080 17809 55746 12  8 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
946  0      0 4717372   5216 500008    0    0     0  1160 20310 61929 10  8 82  0  0  0
754  1      0 4717080   5216 500024    0    0     0  1440 20442 61466  9  8 83  0  0  0
894  0      0 4714100   5216 500024    0    0     0  1488 19984 57850  9  9 82  0  0  0
622  0      0 4711620   5224 500024    0    0     0   992 17817 55833 12  8 80  0  0  0
157  0      0 4711552   5224 500040    0    0     0  1584 19985 62006 10  8 82  0  0  0
983  0      0 4710868   5224 500040    0    0     0  1264 21886 66503 10  9 80  0  0  0
918  0      0 4704972   5224 500040    0    0     0  1640 18339 54447 12  9 79  0  0  0
238  0      0 4706632   5224 500040    0    0     0  1168 19349 61318  9  8 82  0  0  0
953  0      0 4703956   5232 500072    0    0     0  1136 21392 62552  9  9 82  0  0  0
941  0      0 4704196   5232 500080    0    0     0  1376 19440 58792  9  8 82  0  0  0
944  0      0 4698336   5232 500128    0    0     0  1416 20172 56943 12 10 78  0  0  0
696  0      0 4698164   5232 500144    0    0     0  1816 24574 69557 11 11 78  0  0  0
874  0      0 4696756   5232 500152    0    0     0  1296 21095 58563  9  9 82  0  0  0
996  0      0 4694560   5240 500192    0    0     0  1088 21217 60522  9  9 82  0  0  0
408  0      0 4669264   5240 500212    0    0     0  1008 18581 59728 13 10 77  0  0  0
458  0      0 4669652   5240 500236    0    0     0  1552 20821 61667  9  9 82  0  0  0
981  0      0 4668980   5240 500256    0    0     0  1352 21661 62017  9  9 82  0  0  0
487  0      0 4668328   5240 500268    0    0     0  1688 19145 58763 12 10 78  0  0  0
194  0      0 4670632   5248 500284    0    0     0  1320 21344 64748  9  9 81  0  0  0
933  1      0 4668308   5248 500292    0    0     0  1216 22586 63631  9 10 82  0  0  0
33  0      0 4668644   5248 500304    0    0     0   616 15603 93200  3  6 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4668644   5248 500320    0    0     0     0 10938 102349  1  4 95  0  0  0
17  0      0 4668644   5248 500320    0    0     0   384 10330 105043  1  3 96  0  0  0
20  0      0 4668644   5256 500320    0    0     0   156 11580 105328  1  4 95  0  0  0
 0  0      0 4668404   5256 500336    0    0     0     0 10852 106001  1  3 96  0  0  0
 1  0      0 4672976   5256 499580    0    0     0   416 9757 54084  1  3 95  0  0  0
 0  0      0 4672976   5256 499580    0    0     0    16 2511 20851  0  1 99  0  0  0
 0  0      0 4672976   5256 499580    0    0     0   272 2458 21461  0  1 99  0  0  0
 0  0      0 4672976   5264 499580    0    0     0    60 3027 22029  0  1 99  0  0  0
58  0      0 4672976   5264 499580    0    0     0     8 2879 22027  1  1 99  0  0  0
 0  0      0 4675528   5264 499448    0    0     0   256 2482 9950  0  1 99  0  0  0
 1  0      0 4675588   5264 499448    0    0     0     0  766 2014  0  0 99  0  0  0
 0  0      0 4675272   5264 499444    0    0     0     0  596 1364  0  0 100  0  0  0
 0  0      0 4675272   5272 499444    0    0     0   272  458  913  0  0 100  0  0  0
 0  0      0 4675272   5272 499444    0    0     0     0  511 1088  0  0 100  0  0  0
 0  0      0 4675272   5272 499444    0    0     0     0  434  888  0  0 100  0  0  0
 0  0      0 4675272   5272 499444    0    0     0   256  457  923  0  0 100  0  0  0
 0  0      0 4675272   5272 499444    0    0     0     0  418  863  0  0 100  0  0  0
 0  0      0 4675272   5280 499444    0    0     0    12  446  913  0  0 100  0  0  0
 0  0      0 4675272   5280 499444    0    0     0   296  878 2537  0  0 99  0  0  0
 0  0      0 4675272   5280 499328    0    0     0     0 1920 5386  0  1 99  0  0  0
 0  0      0 4675272   5280 499360    0    0     0    16  885 4284  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4675272   5280 499360    0    0     0     0  655 4167  0  0 100  0  0  0
 0  0      0 4675272   5288 499344    0    0     0   272  713 4189  0  0 100  0  0  0
 0  0      0 4677676   5288 499108    0    0     0     0  822 3446  0  0 100  0  0  0
 0  0      0 4677676   5288 499104    0    0     0     0  575 1948  0  0 100  0  0  0
 0  0      0 4677676   5288 499104    0    0     0   256  541 1237  0  0 100  0  0  0
 0  0      0 4677676   5288 499088    0    0     0     0  418  868  0  0 100  0  0  0
 0  0      0 4677676   5296 499104    0    0     0    12  450  924  0  0 100  0  0  0
 0  0      0 4677676   5296 499088    0    0     0   264  437  897  0  0 100  0  0  0
