vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
10,228.0251179874048,43.710866480899924,null,47.647695,47.976965,null,9.91,0.71
50,1125.3208400210121,44.31006577425764,null,48.0264237,48.2132593,null,12.52,3.89
100,2193.1684504153563,45.05147717149251,null,48.149699,51.686417799999994,null,16.68,6.17
175,3621.1547530325643,47.65924413237487,null,51.996499,55.57090325,null,26.55,8.63
250,4095.7195415094084,60.44533446604314,null,76.2586188,88.51725239999999,null,31.73,14.43
500,4385.979178656649,112.15642903936289,null,131.7709147,157.18733884999946,null,34.69,8.65
750,4382.159715868248,168.27082811819557,null,142.51276889999997,172.76911244999926,null,33.70,7.77
1000,4414.79987830445,221.879048706619,null,188.0113073,243.13912294999994,null,32.87,7.33
1000,4249.487181365858,216.23101992561124,null,239.526781,311.8870435,null,32.18,5.25
1250,4274.660517331723,264.7256525164345,null,228.2312298,292.04368354999997,null,32.77,5.96
