vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
10,224.7483569784978,44.36877167876998,null,47.998171400000004,51.2086723,null,11.10,1.02
50,975.6886156070552,50.40230147421359,null,56.0956046,57.94863539999999,null,13.13,3.59
100,1615.9442195983297,61.13275449886702,null,68.289933,71.5792653,null,16.27,3.26
175,2200.0840317022785,78.0569282798819,null,91.92694949999999,95.85525399999999,null,19.86,3.19
250,2477.0274751065103,99.57770385805897,null,113.16193980000004,116.3101884,null,20.82,2.97
500,2879.5596043287687,170.30345154319167,null,184.265405,191.658005,null,23.17,2.31
750,3170.6272090200628,231.12367020761562,null,240.412624,256.2347473,null,24.48,2.39
1000,3046.31427345635,297.9139447826661,null,298.88286189999997,340.3476426499999,null,24.92,2.12
1000,3029.8986093594053,297.92869121559585,null,288.67994780000004,342.5915759999998,null,24.42,1.88
1250,2433.448052580086,373.3051539684419,null,287.4231892,340.2636481,null,20.97,1.47
