Timestamp,Workload,Threads,Throughput,P95_Latency,Success_Count,Fail_Count
22:24:15,get_all,10,228.06,0.048341,4571,0
22:24:41,get_all,50,936.20,0.068386,19181,0
22:25:08,get_all,100,834.57,0.240337,18746,0
22:25:45,get_all,200,604.20,0.825374,19065,0
22:26:38,get_all,10,148.57,0.045478,2980,1645
22:27:03,get_all,50,575.74,0.082694,11706,5770
22:27:30,get_all,100,558.61,0.229905,12035,5977
22:28:07,get_all,200,483.05,0.604285,15435,7653
22:28:53,get_all,250,486.92,0.737585,20022,9995
22:30:24,get_all,500,480.64,0.964910,41329,21517
22:32:53,get_all,750,448.06,1.082477,64760,36064
22:36:39,get_all,1000,401.01,1.257629,88364,54516
23:15:40,get_all,10,229.29,0.046320,4598,0
23:16:05,get_all,50,1040.63,0.057006,21170,0
23:16:32,get_all,100,1002.46,0.183054,21200,0
23:17:06,get_all,200,819.66,0.623397,24043,0
23:17:48,get_all,250,778.82,0.629017,29154,39
23:19:07,get_all,500,757.77,0.663146,55723,1658
23:21:33,get_all,10,230.43,0.045149,4622,0
23:21:58,get_all,50,1040.28,0.056341,21000,0
23:22:25,get_all,100,1012.21,0.178213,21607,0
23:22:58,get_all,200,867.05,0.255706,24155,204
23:23:33,get_all,250,795.44,0.292427,23939,434
23:24:20,get_all,500,851.45,0.276219,35506,1821
23:25:24,get_all,750,784.50,0.343579,46290,4203
23:26:57,get_all,1000,635.43,0.495020,56128,8491
